 INDIV ,species,Locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,ml of Dilution,dilution,,50% MAMU,,
  16.77 ,CRF 3060,T. couchii,Lassen,Willard Creek,24.3,,,0.526,0.619,0.573 ,1MAMU,0.000347247,0.696,82.26%,,0.069,0.005,
  16.78 ,CRF 3061,T. couchii,Lassen,Willard Creek,130.6,,,0.693,0.579,0.636 ,5MAMU,0.00933137,2.292,27.75%,,0.187,0.05,3.76
  16.78 ,CRF 3061,T. couchii,Lassen,Willard Creek,130.6,,,0.693,0.579,0.636 ,1MAMU,0.001866274,0.586,108.53%,,0.037,0.05,
  16.79 ,CRF 3062,T. couchii,Lassen,Willard Creek,87.6,,,0.846,,0.846 ,5MAMU,0.00625902,1.735,48.76%,,0.125,0.05,Gave Birth
  16.79 ,CRF 3062,T. couchii,Lassen,Willard Creek,87.6,,,0.846,,0.846 ,1MAMU,0.001251804,,#DIV/0!,,0.025,0.05,birth
  16.80 ,EJE 138,T. couchii,Nevada,Sawmill Lake,7.8,,,0.82,0.662,0.741 ,5MAMU,0.00055731,1.259,58.86%,,0.011,0.05,19.8
  16.80 ,EJE 138,T. couchii,Nevada,Sawmill Lake,7.8,,,0.82,0.662,0.741 ,10MAMU,0.00111462,0.799,92.74%,,0.223,0.005,
  16.80 ,EJE 138,T. couchii,Nevada,Sawmill Lake,7.8,,,0.82,0.662,0.741 ,25MAMU,0.00278655,2.659,27.87%,,0.056,0.05,
  16.81 ,EJE 139,T. couchii,Nevada,Sawmill Lake,4.4,,,1.564,1.412,1.488 ,5MAMU,0.00031438,2.739,54.33%,,0.063,0.005,44.1
  16.81 ,EJE 139,T. couchii,Nevada,Sawmill Lake,4.4,,,1.564,1.412,1.488 ,10MAMU,0.00062876,1.171,127.07%,,0.126,0.005,
  16.81 ,EJE 139,T. couchii,Nevada,Sawmill Lake,4.4,,,1.564,1.412,1.488 ,25MAMU,0.0015719,1.507,98.74%,,0.031,0.05,
  16.81 ,EJE 139,T. couchii,Nevada,Sawmill Lake,4.4,,,1.564,1.412,1.488 ,50MAMU,0.0031438,4.252,35.00%,,0.063,0.05,
  16.82 ,EJE 140,T. couchii,Nevada,Prairie Creek,64.4,,,0.745,0.747,0.746 ,5MAMU,0.00460138,2.372,31.45%,,0.092,0.05,3.91
  16.82 ,EJE 140,T. couchii,Nevada,Prairie Creek,64.4,,,0.745,0.747,0.746 ,1MAMU,0.000920276,0.566,131.80%,,0.184,0.005,
  16.83 ,EJE 141,T. couchii,Nevada,Prairie Creek,138.3,,,0.857,0.658,0.758 ,5MAMU,0.009881535,1.153,65.70%,,0.198,0.05,15.5
  16.83 ,EJE 141,T. couchii,Nevada,Prairie Creek,138.3,,,0.857,0.658,0.758 ,10MAMU,0.01976307,1.101,68.80%,,0.198,0.1,
  16.83 ,EJE 141,T. couchii,Nevada,Prairie Creek,138.3,,,0.857,0.658,0.758 ,25MAMU,0.049407675,4.19,18.08%,,0.494,0.1,
  16.84 ,EJE 142,T. couchii,Nevada,Prairie Creek,33.7,,,0.663,0.636,0.650 ,5MAMU,0.002407865,5.551,11.70%,,0.048,0.05,2.96
  16.84 ,EJE 142,T. couchii,Nevada,Prairie Creek,33.7,,,0.663,0.636,0.650 ,1MAMU,0.000481573,0.747,86.95%,,0.096,0.005,
  16.85 ,EJE 143,T. couchii,Nevada,Prairie Creek,57.8,,,0.734,,0.734 ,5MAMU,0.00412981,4.246,17.29%,,0.083,0.05,2.88
  16.85 ,EJE 143,T. couchii,Nevada,Prairie Creek,57.8,,,0.734,,0.734 ,1MAMU,0.000825962,0.931,78.84%,,0.165,0.005,
  16.86 ,EJE 144,T. couchii,Nevada,Prairie Creek,54.9,,,0.786,,0.786 ,5MAMU,0.003922605,6.732,11.68%,,0.078,0.05,3.27
  16.86 ,EJE 144,T. couchii,Nevada,Prairie Creek,54.9,,,0.786,,0.786 ,1MAMU,0.000784521,0.758,103.69%,,0.157,0.005,
  16.87 ,EJE 145,T. couchii,Nevada,Bowman Lake,6.8,,,0.991,,0.991 ,5MAMU,0.00048586,,#DIV/0!,,0.097,0.005,22
  16.87 ,EJE 145,T. couchii,Nevada,Bowman Lake,6.8,,,0.991,,0.991 ,5MAMU,0.00048586,1.594,62.17%,,0.097,0.005,
  16.87 ,EJE 145,T. couchii,Nevada,Bowman Lake,6.8,,,0.991,,0.991 ,10MAMU,0.00097172,1.611,61.51%,,0.194,0.005,
  16.87 ,EJE 145,T. couchii,Nevada,Bowman Lake,6.8,,,0.991,,0.991 ,25MAMU,0.0024293,2.097,47.26%,,0.049,0.05,
  16.88 ,EJE 146,T. couchii,Nevada,Bowman Lake,7,,,,,#DIV/0!,5MAMU,0.00050015,,#DIV/0!,,,,No Data
  16.89 ,EJE 147,T. couchii,Nevada,Bowman Lake,8.4,,,0.935,0.736,0.836 ,5MAMU,0.00060018,2.783,30.02%,,0.012,0.05,3.85
  16.89 ,EJE 147,T. couchii,Nevada,Bowman Lake,8.4,,,0.935,0.736,0.836 ,1MAMU,0.000120036,0.837,99.82%,,0.024,0.005,
  16.90 ,EJE 148,T. couchii,Nevada,Bowman Lake,25.1,,,0.748,0.886,0.817 ,5MAMU,0.001793395,2.336,34.97%,,0.036,0.05,4.09
  16.90 ,EJE 148,T. couchii,Nevada,Bowman Lake,25.1,,,0.748,0.886,0.817 ,1MAMU,0.000358679,0.758,107.78%,,0.072,0.005,
  16.91 ,EJE 149,T. couchii,Nevada,Bowman Lake,4.1,,,1.187,0.988,1.088 ,5MAMU,0.000292945,2.052,53.00%,,0.059,0.005,6.4
  16.91 ,EJE 149,T. couchii,Nevada,Bowman Lake,4.1,,,1.187,0.988,1.088 ,10MAMU,0.00058589,2.566,42.38%,,0.117,0.005,
  16.92 ,EJE 150,T. couchii,Nevada,Bowman Lake,37.8,,,0.853,,0.853 ,5MAMU,0.00270081,2.773,30.76%,,0.054,0.05,3.5
  16.92 ,EJE 150,T. couchii,Nevada,Bowman Lake,37.8,,,0.853,,0.853 ,1MAMU,0.000540162,1.038,82.18%,,0.108,0.005,
  16.93 ,EJE 151,T. couchii,Nevada,Faucherie Lake,22.1,,,,,#DIV/0!,5MAMU,0.001579045,,#DIV/0!,,,,No Data
  16.94 ,EJE 152,T. couchii,Nevada,Faucherie Lake,37.3,,,0.678,,0.678 ,5MAMU,0.002665085,3.005,22.56%,,0.053,0.05,2.9
  16.94 ,EJE 152,T. couchii,Nevada,Faucherie Lake,37.3,,,0.678,,0.678 ,1MAMU,0.000533017,0.904,75.00%,,0.107,0.005,
  16.95 ,EJE 153,T. couchii,Nevada,Faucherie Lake,29.4,,,0.935,,0.935 ,5MAMU,0.00210063,,#DIV/0!,,0.042,0.05,No Data
  16.95 ,EJE 153,T. couchii,Nevada,Faucherie Lake,29.4,,,0.935,,0.935 ,5MAMU,0.00210063,,#DIV/0!,,0.042,0.05,
  16.96 ,EJE 154,T. couchii,Nevada,Faucherie Lake,17.5,,,0.948,0.69,0.819 ,5MAMU,0.001250375,,#DIV/0!,,0.250,0.005,3.2
  16.96 ,EJE 154,T. couchii,Nevada,Faucherie Lake,17.5,,,0.948,0.69,0.819 ,5MAMU,0.001250375,8.954,9.15%,,0.025,0.05,
  16.96 ,EJE 154,T. couchii,Nevada,Faucherie Lake,17.5,,,0.948,0.69,0.819 ,1MAMU,0.000250075,0.807,101.49%,,0.050,0.005,
  16.97 ,EJE 155,T. couchii,Nevada,Faucherie Lake,9.4,,,0.621,,0.621 ,5MAMU,0.00067163,5.931,10.47%,,0.013,0.05,1.8
  16.97 ,EJE 155,T. couchii,Nevada,Faucherie Lake,9.4,,,0.621,,0.621 ,1MAMU,0.000134326,1.527,40.67%,,0.027,0.005,
  16.97 ,EJE 155,T. couchii,Nevada,Faucherie Lake,9.4,,,0.621,,0.621 ,1MAMU,0.000134326,0.971,63.95%,,0.027,0.005,
  16.98 ,EJE 156,T. couchii,Nevada,Faucherie Lake,39,,,0.727,0.658,0.693 ,5MAMU,0.00278655,6.546,10.58%,,0.056,0.05,3.15
  16.98 ,EJE 156,T. couchii,Nevada,Faucherie Lake,39,,,0.727,0.658,0.693 ,1MAMU,0.00055731,0.725,95.52%,,0.111,0.005,
  16.99 ,EJE 157,T. couchii,Nevada,Faucherie Lake,45,,,0.557,,0.557 ,5MAMU,0.00321525,7.8,7.14%,,0.064,0.05,No Data
  16.99 ,EJE 157,T. couchii,Nevada,Faucherie Lake,45,,,0.557,,0.557 ,1MAMU,0.00064305,1.164,47.85%,,0.129,0.005,
  16.99 ,EJE 157,T. couchii,Nevada,Faucherie Lake,45,,,0.557,,0.557 ,1MAMU,0.00064305,,#DIV/0!,,0.129,0.005,
,,,,,,,,,,,,,,,,,,
  16.120 ,EJE 161,T.couchii,Jackson Meadows Res,Sierra,10.9,,,0.905,0.727,0.816 ,5MAMU,0.000778805,0.9,90.67%,,0.016,0.05,13.6
  16.120 ,EJE 161,T.couchii,Jackson Meadows Res,Sierra,10.9,,,0.905,0.727,0.816 ,10MAMU,0.00155761,1.336,61.08%,,0.031,0.05,
  16.120 ,EJE 161,T.couchii,Jackson Meadows Res,Sierra,10.9,,,0.905,0.727,0.816 ,25MAMU,0.003894025,5.128,15.91%,,0.078,0.05,
  16.121 ,EJE 162,T.couchii,Jackson Meadows Res,Sierra,13.9,,,,,#DIV/0!,5MAMU,0.000993155,,,,0.020,0.05,defensive
  16.122 ,EJE 163,T.couchii,Jackson Meadows Res,Sierra,49,,,0.76,0.615,0.688 ,5MAMU,0.00350105,2.601,26.43%,,0.070,0.05,3.7
  16.122 ,EJE 163,T.couchii,Jackson Meadows Res,Sierra,49,,,0.76,0.615,0.688 ,1MAMU,0.00070021,0.547,125.69%,,0.014,0.05,
  16.123 ,EJE 164,T.couchii,Carr Lake,Nevada,41,,,0.635,0.73,0.683 ,5MAMU,0.00292945,14.27,4.78%,,0.059,0.05,3.1
  16.123 ,EJE 164,T.couchii,Carr Lake,Nevada,41,,,0.635,0.73,0.683 ,1MAMU,0.00058589,0.683,99.93%,,0.012,0.05,
  16.124 ,EJE 165,T.couchii,Canyon Creek,Nevada,32.6,,,0.71,0.712,0.711 ,5MAMU,0.00232927,2.902,24.50%,,0.047,0.05,3.65
  16.124 ,EJE 165,T.couchii,Canyon Creek,Nevada,32.6,,,0.71,0.712,0.711 ,1MAMU,0.000465854,0.526,135.17%,,0.093,0.005,
  16.125 ,EJE 166,T.couchii,Canyon Creek,Nevada,7.6,,,,,#DIV/0!,5MAMU,0.00054302,,,,0.011,0.05,defensive
  16.126 ,EJE 167,T.couchii,Canyon Creek,Nevada,7.7,,,1.09,,1.090 ,5MAMU,0.000550165,2.523,43.20%,,0.011,0.05,4.08
  16.126 ,EJE 167,T.couchii,Canyon Creek,Nevada,7.7,,,1.09,,1.090 ,1MAMU,0.000110033,,#DIV/0!,,0.022,0.005,defensive
  16.126 ,EJE 167,T.couchii,Canyon Creek,Nevada,7.7,,,1.09,,1.090 ,1MAMU,0.000110033,,#DIV/0!,,0.022,0.005,defensive
  16.126 ,EJE 167,T.couchii,Canyon Creek,Nevada,7.7,,,1.09,,1.090 ,1MAMU,0.000110033,1.499,72.72%,,0.022,0.005,
  16.127 ,EJE 168,T.couchii,Canyon Creek,Nevada,5,,,,,#DIV/0!,5MAMU,0.00035725,,,,0.007,0.05,defensive
  16.128 ,EJE 169,T.couchii,Canyon Creek,Nevada,9.4,,,,,#DIV/0!,5MAMU,0.00067163,,,,0.013,0.05,defensive
  16.129 ,EJE 170,T.couchii,Canyon Creek,Nevada,9.1,,,1.077,0.73,0.904 ,5MAMU,0.000650195,7.92,11.41%,,0.013,0.05,3.26
  16.129 ,EJE 170,T.couchii,Canyon Creek,Nevada,9.1,,,1.077,0.73,0.904 ,1MAMU,0.000130039,0.797,113.36%,,0.026,0.005,
  16.130 ,EJE 171,T.couchii,Canyon Creek,Nevada,6.3,,,0.907,0.865,0.886 ,5MAMU,0.000450135,,#DIV/0!,,0.090,0.005,defensive
  16.130 ,EJE 171,T.couchii,Canyon Creek,Nevada,6.3,,,0.907,0.865,0.886 ,5MAMU,0.000450135,,#DIV/0!,,0.090,0.005,defensive
  16.131 ,EJE 172,T.couchii,Canyon Creek,Nevada,9.2,,,0.885,0.959,0.922 ,5MAMU,0.00065734,0.989,93.23%,,0.013,0.05,7.96
  16.131 ,EJE 172,T.couchii,Canyon Creek,Nevada,9.2,,,0.885,0.959,0.922 ,10MAMU,0.00131468,4.486,20.55%,,0.026,0.05,
  16.132 ,EJE 173,T.couchii,Canyon Creek,Nevada,7.9,,,1.186,1.05,1.118 ,5MAMU,0.000564455,2.624,42.61%,,0.011,0.05,4.5
  16.132 ,EJE 173,T.couchii,Canyon Creek,Nevada,7.9,,,1.186,1.05,1.118 ,1MAMU,0.000112891,1.049,106.58%,,0.023,0.005,
  16.133 ,EJE 174,T.couchii,Milton Res,Nevada,21.7,,,0.815,0.849,0.832 ,5MAMU,0.001550465,8.578,9.70%,,0.031,0.05,3.21
  16.133 ,EJE 174,T.couchii,Milton Res,Nevada,21.7,,,0.815,0.849,0.832 ,1MAMU,0.000310093,0.754,110.34%,,0.062,0.005,
  16.134 ,EJE 175,T.couchii,Sawmill lake,Nevada,11.8,,,1.079,0.863,0.971 ,5MAMU,0.00084311,1.693,57.35%,,0.017,0.05,7.35
  16.134 ,EJE 175,T.couchii,Sawmill lake,Nevada,11.8,,,1.079,0.863,0.971 ,10MAMU,0.00168622,2.323,41.80%,,0.034,0.05,
  16.135 ,EJE 176,T.couchii,Sawmill lake,Nevada,9.1,,,0.946,,0.946 ,5MAMU,0.000650195,3.023,31.29%,,0.013,0.05,3.75
  16.135 ,EJE 176,T.couchii,Sawmill lake,Nevada,9.1,,,0.946,,0.946 ,1MAMU,0.000130039,,#DIV/0!,,0.026,0.005,defensive
  16.135 ,EJE 176,T.couchii,Sawmill lake,Nevada,9.1,,,0.946,,0.946 ,1MAMU,0.000130039,1.042,90.79%,,0.026,0.005,
  16.136 ,EJE 177,T.couchii,Milton Res,Nevada,16.6,,,0.888,0.781,0.835 ,5MAMU,0.00118607,1.507,55.37%,,0.024,0.05,6
  16.136 ,EJE 177,T.couchii,Milton Res,Nevada,16.6,,,0.888,0.781,0.835 ,10MAMU,0.00237214,2.958,28.21%,,0.047,0.05,
  16.137 ,EJE 178,T.couchii,Milton Res,Nevada,4.8,,,,,#DIV/0!,5MAMU,0.00034296,,,,0.069,0.005,defensive
  16.138 ,EJE 179,T.couchii,Jackson Meadows Res,Sierra,9.4,,,0.811,0.851,0.831 ,5MAMU,0.00067163,0.894,92.95%,,0.013,0.05,25
  16.138 ,EJE 179,T.couchii,Jackson Meadows Res,Sierra,9.4,,,0.811,0.851,0.831 ,10MAMU,0.00134326,1.388,59.87%,,0.027,0.05,
  16.138 ,EJE 179,T.couchii,Jackson Meadows Res,Sierra,9.4,,,0.811,0.851,0.831 ,25MAMU,0.00335815,1.645,50.52%,,0.067,0.05,
  16.139 ,EJE 180,T.couchii,Jackson Meadows Res,Sierra,14.3,,,0.826,1.002,0.914 ,5MAMU,0.001021735,1.091,83.78%,,0.020,0.05,8.3
  16.139 ,EJE 180,T.couchii,Jackson Meadows Res,Sierra,14.3,,,0.826,1.002,0.914 ,10MAMU,0.00204347,2.828,32.32%,,0.041,0.05,
  16.140 ,EJE 181,T.couchii,So. Fork Tuolumne River,Tuolumne,6.9,,,1.012,,1.012 ,50MAMU,0.00493005,8.52,11.88%,,0.099,0.05,defensive
  16.140 ,EJE 181,T.couchii,So. Fork Tuolumne River,Tuolumne,6.9,,,1.012,,1.012 ,25MAMU,0.002465025,,#DIV/0!,,0.049,0.05,defensive
  16.140 ,EJE 181,T.couchii,So. Fork Tuolumne River,Tuolumne,6.9,,,1.012,,1.012 ,25MAMU,0.002465025,12.172,8.31%,,0.049,0.05,
  16.140 ,EJE 181,T.couchii,So. Fork Tuolumne River,Tuolumne,6.9,,,1.012,,1.012 ,5MAMU,0.000493005,,#DIV/0!,,0.099,0.005,defensive
  16.141 ,EJE 182,T.couchii,So. Fork Tuolumne River,Tuolumne,145.8,,,0.689,0.648,0.669 ,50MAMU,0.1041741,1.467,45.57%,,1.042,0.1,47.5
  16.141 ,EJE 182,T.couchii,So. Fork Tuolumne River,Tuolumne,145.8,,,0.689,0.648,0.669 ,25MAMU,0.05208705,0.745,89.73%,,0.521,0.1,
  16.142 ,EJE 183,T.couchii,So. Fork Tuolumne River,Tuolumne,5.9,,,,,#DIV/0!,50MAMU,0.00421555,,,,0.042,0.1,defensive
  16.143 ,EJE 184,T.couchii,So. Fork Tuolumne River,Tuolumne,6,,,,,#DIV/0!,50MAMU,0.004287,,,,0.043,0.1,defensive
  16.144 ,EJE 185,T.couchii,So. Fork Tuolumne River,Tuolumne,6,,,,,#DIV/0!,50MAMU,0.004287,,,,0.043,0.1,defensive
  16.145 ,EJE 186,T.couchii,So. Fork Tuolumne River,Tuolumne,12.3,,,0.997,0.903,0.950 ,50MAMU,0.00878835,1.683,56.45%,,0.088,0.1,137.6
  16.145 ,EJE 186,T.couchii,So. Fork Tuolumne River,Tuolumne,12.3,,,0.997,0.903,0.950 ,100MAMU,0.0175767,1.296,73.30%,,0.176,0.1,
  16.145 ,EJE 186,T.couchii,So. Fork Tuolumne River,Tuolumne,12.3,,,0.997,0.903,0.950 ,200MAMU,0.0351534,8.128,11.69%,,0.352,0.1,
  16.146 ,EJE 187,T.couchii,So. Fork Tuolumne River,Tuolumne,7.3,,,,,#DIV/0!,50MAMU,0.00521585,,,,0.052,0.1,defensive
  16.147 ,EJE 188,T.couchii,So. Fork Tuolumne River,Tuolumne,5.1,,,1.187,,1.187 ,50MAMU,0.00364395,,#DIV/0!,,0.036,0.1,defensive
  16.147 ,EJE 188,T.couchii,So. Fork Tuolumne River,Tuolumne,5.1,,,1.187,,1.187 ,50MAMU,0.00364395,,#DIV/0!,,0.036,0.1,defensive
  16.148 ,EJE 189,T.couchii,Canyon Creek,Nevada,8.4,,,1.127,0.816,0.972 ,5MAMU,0.00060018,1.04,93.41%,,0.012,0.05,22.2
  16.148 ,EJE 189,T.couchii,Canyon Creek,Nevada,8.4,,,1.127,0.816,0.972 ,10MAMU,0.00120036,1.16,83.75%,,0.024,0.05,
  16.148 ,EJE 189,T.couchii,Canyon Creek,Nevada,8.4,,,1.127,0.816,0.972 ,25MAMU,0.0030009,2.3,42.24%,,0.060,0.05,
,,,,,,,,,,,,,,,,,,
couchii--Cold  Cr  2001,,,,,,,,,,,,,,,,,,
INDIV,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1MAMU/snake,,,,,,,
 9 ,4.8,209,285,1.401 ,1.413 ,1.407 ,1(8MAMU),0.00055,1.485,94.75%,0.000068568,,149.5,,,,,
 9 ,4.8,209,285,1.401 ,1.413 ,1.407 ,2(16MAMU),0.0011,1.372,102.55%,0.000068568,,,,,,,
 9 ,4.8,209,285,1.401 ,1.413 ,1.407 ,3(40MAMU),0.0027,1.516,92.81%,0.000068568,,,,,,,
 9 ,4.8,209,285,1.401 ,1.413 ,1.407 ,4(100MAMU),0.007,1.914,73.51%,0.000068568,,,,,,,
 9 ,4.8,209,285,1.401 ,1.413 ,1.407 ,5(200MAMU),0.014,5.41,26.01%,0.000068568,,,,,,,
10,7.2,243,340,1.080 ,1.324 ,1.202 ,1(8MAMU),0.00082,1.525,78.82%,0.000102852,,,,,,,
10,7.2,243,340,1.080 ,1.324 ,1.202 ,2(16MAMU),0.0016,,,0.000102852,,,,,,,
10,7.2,243,340,1.080 ,1.324 ,1.202 ,3(40MAMU),0.0041,2.418,49.71%,0.000102852,,40,,,,,
10,7.2,243,340,1.080 ,1.324 ,1.202 ,4(100MAMU),0.010,2.668,45.05%,0.000102852,,,,,,,
10,7.2,243,340,1.080 ,1.324 ,1.202 ,5(200MAMU),0.021,12.157,9.89%,0.000102852,,,,,,,
11,7.5,222,301,1.451 ,1.475 ,1.463 ,1(8MAMU),0.00086,1.386,105.56%,0.0001071375,,63.5,,,,,
11,7.5,222,301,1.451 ,1.475 ,1.463 ,2(16MAMU),0.0017,1.403,104.28%,0.0001071375,,,,,,,
11,7.5,222,301,1.451 ,1.475 ,1.463 ,3(40MAMU),0.0043,,,0.0001071375,,,,,,,
11,7.5,222,301,1.451 ,1.475 ,1.463 ,4(100MAMU),0.011,12.553,11.65%,0.0001071375,,,,,,,
11,7.5,222,301,1.451 ,1.475 ,1.463 ,5(200MAMU),0.021,12.145,12.05%,0.0001071375,,,,,,,
12,5.1,228,314,1.158 ,1.010 ,1.084 ,1(8MAMU),0.00058,1.091,99.36%,0.00007285 ,,36.5,,,,,
12,5.1,228,314,1.158 ,1.010 ,1.084 ,2(16MAMU),0.0012,1.429,75.86%,0.00007285 ,,,,,,,
12,5.1,228,314,1.158 ,1.010 ,1.084 ,3(40MAMU),0.0029,2.373,45.68%,0.00007285 ,,,,,,,
12,5.1,228,314,1.158 ,1.010 ,1.084 ,4(100MAMU),0.007,2.916,37.17%,0.00007285 ,,,,,,,
12,5.1,228,314,1.158 ,1.010 ,1.084 ,5(200MAMU),0.015,7.008,15.47%,0.00007285 ,,,,,,,
13,16.8,372,499,0.677 ,0.904 ,0.791 ,1(8MAMU),0.0019,0.995,79.45%,0.000239988,,61.5,,,,,
13,16.8,372,499,0.677 ,0.904 ,0.791 ,2(16MAMU),0.0038,0.872,90.65%,0.000239988,,,,,,,
13,16.8,372,499,0.677 ,0.904 ,0.791 ,3(40MAMU),0.0096,1.221,64.74%,0.000239988,,,,,,,
13,16.8,372,499,0.677 ,0.904 ,0.791 ,4(100MAMU),0.024,3.324,23.78%,0.000239988,,,,,,,
13,16.8,372,499,0.677 ,0.904 ,0.791 ,5(200MAMU),0.048,7.109,11.12%,0.000239988,,,,,,,
14,41.4,477,650,0.707 ,0.904 ,0.806 ,1(8MAMU),0.0047,1.162,69.32%,0.000591399,,123.8,,,,,
14,41.4,477,650,0.707 ,0.904 ,0.806 ,2(16MAMU),0.0095,0.876,91.95%,0.000591399,,,,,,,
14,41.4,477,650,0.707 ,0.904 ,0.806 ,3(40MAMU),0.0237,0.866,93.01%,0.000591399,,,,,,,
14,41.4,477,650,0.707 ,0.904 ,0.806 ,4(100MAMU),0.059,1.328,60.66%,0.000591399,,,,,,,
14,41.4,477,650,0.707 ,0.904 ,0.806 ,5(200MAMU),0.12,5.091,15.82%,0.000591399,,,,,,,
15,23.3,384,532,0.680 ,0.695 ,0.688 ,1(8MAMU),0.0027,0.952,72.22%,0.0003328405,,119.5,,,,,
15,23.3,384,532,0.680 ,0.695 ,0.688 ,2(16MAMU),0.0053,0.786,87.47%,0.0003328405,,,,,,,
15,23.3,384,532,0.680 ,0.695 ,0.688 ,3(40MAMU),0.0133,0.994,69.16%,0.0003328405,,,,,,,
15,23.3,384,532,0.680 ,0.695 ,0.688 ,4(100MAMU),0.033,1.152,59.68%,0.0003328405,,,,,,,
15,23.3,384,532,0.680 ,0.695 ,0.688 ,5(200MAMU),0.067,6.955,9.88%,0.0003328405,,,,,,,
16,36.4,420,583,0.715 ,0.794 ,0.755 ,1(8MAMU),0.0042,1.032,73.11%,0.000519974,,73.8,,,,,
16,36.4,420,583,0.715 ,0.794 ,0.755 ,2(16MAMU),0.0083,1.243,60.70%,0.000519974,,,,,,,
16,36.4,420,583,0.715 ,0.794 ,0.755 ,3(40MAMU),0.0208,1.348,55.97%,0.000519974,,,,,,,
16,36.4,420,583,0.715 ,0.794 ,0.755 ,4(100MAMU),0.052,1.661,45.42%,0.000519974,,,,,,,
16,36.4,420,583,0.715 ,0.794 ,0.755 ,5(200MAMU),0.10,1.71,44.12%,0.000519974,,,,,,,
17,43.3,456,585,0.650 ,0.839 ,0.745 ,1(8MAMU),0.0049,0.927,80.31%,0.0006185405,,109,,,,,
17,43.3,456,585,0.650 ,0.839 ,0.745 ,2(16MAMU),0.0099,0.971,76.67%,0.0006185405,,,,,,,
17,43.3,456,585,0.650 ,0.839 ,0.745 ,3(40MAMU),0.0247,1.054,70.64%,0.0006185405,,,,,,,
17,43.3,456,585,0.650 ,0.839 ,0.745 ,4(100MAMU),0.062,1.461,50.96%,0.0006185405,,,,,,,
17,43.3,456,585,0.650 ,0.839 ,0.745 ,5(200MAMU),0.12,1.834,40.59%,0.0006185405,,,,,,,
18,64.9,520,699,0.946 ,1.108 ,1.027 ,1(8MAMU),0.0074,0.89,115.39%,0.0009270965,,120,,,,,
18,64.9,520,699,0.946 ,1.108 ,1.027 ,2(16MAMU),0.0148,0.877,117.10%,0.0009270965,,,,,,,
18,64.9,520,699,0.946 ,1.108 ,1.027 ,3(40MAMU),0.0371,1.174,87.48%,0.0009270965,,,,,,,
18,64.9,520,699,0.946 ,1.108 ,1.027 ,4(100MAMU),0.093,1.712,59.99%,0.0009270965,,,,,,,
18,64.9,520,699,0.946 ,1.108 ,1.027 ,5(200MAMU),0.19,10.359,9.91%,0.0009270965,,,,,,,
19,37.5,459,630,0.801 ,0.916 ,0.859 ,1(40MAMU),0.021,0.674,127.37%,0.0005356875,,122.6,,,,,
19,37.5,459,630,0.801 ,0.916 ,0.859 ,2(100MAMU),0.054,1.039,82.63%,0.0005356875,,,,,,,
19,37.5,459,630,0.801 ,0.916 ,0.859 ,3(200MAMU),0.11,3.243,26.47%,0.0005356875,,,,,,,
20,44.7,494,678,0.809 ,0.962 ,0.886 ,1(40MAMU),0.026,0.928,95.42%,0.0006385395,,161.5,,,,,
20,44.7,494,678,0.809 ,0.962 ,0.886 ,2(100MAMU),0.064,0.925,95.73%,0.0006385395,,,,,,,
20,44.7,494,678,0.809 ,0.962 ,0.886 ,3(200MAMU),0.13,4.114,21.52%,0.0006385395,,,,,,,
21,55.8,493,671,0.996 ,0.880 ,0.938 ,1(40MAMU),0.032,1.015,92.41%,0.000797103,,142,,,,,
21,55.8,493,671,0.996 ,0.880 ,0.938 ,2(100MAMU),0.080,,,0.000797103,,,,,,,
21,55.8,493,671,0.996 ,0.880 ,0.938 ,3(200MAMU),0.16,3.631,25.83%,0.000797103,,,,,,,
22,9.1,255,342,0.990 ,0.939 ,0.965 ,1(40MAMU),0.005,1.74,55.43%,0.0001299935,,134.9,,,,,
22,9.1,255,342,0.990 ,0.939 ,0.965 ,2(100MAMU),0.013,1.363,70.76%,0.0001299935,,,,,,,
22,9.1,255,342,0.990 ,0.939 ,0.965 ,3(200MAMU),0.026,8.526,11.31%,0.0001299935,,,,,,,
,,,,,,,,,,,,,,,,,,
couchii  Cold Cr. Neonates 2001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,TTX Dose,MAMU,,,
INDIV,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,,50% MAMU,,0.0005,9.54,,,
SE1,3.54,192,251,1.107 ,1.137 ,1.122 ,,0.001,1.515,74.06%,,48.8,,0.001,19.08,,,
SE1,3.54,192,251,1.107 ,1.137 ,1.122 ,,0.002,2.062,54.41%,,,,0.002,38.17,,,
SE1,3.54,192,251,1.107 ,1.137 ,1.122 ,,0.005,3.617,31.02%,,,,0.005,95.42,,,
SE10,3.12,193,258,1.009 ,1.002 ,1.006 ,,0.001,1.505,66.81%,,41.1,,0.01,190.83,,,
SE10,3.12,193,258,1.009 ,1.002 ,1.006 ,,0.005,11.595,8.67%,,,,,,,,
SE11,3.22,193,249,1.165 ,1.280 ,1.223 ,,0.001,1.501,81.45%,,86,,,,,,
SE11,3.22,193,249,1.165 ,1.280 ,1.223 ,,0.002,1.535,79.64%,,,,,,,,
SE11,3.22,193,249,1.165 ,1.280 ,1.223 ,,0.005,2.767,44.18%,,,,,,,,
